symbol,announce_time,session,analyst_surprise,source
HD,2022-08-16 06:11:20,bmo,,sec_8k_2.02
WMT,2022-08-16 07:00:07,bmo,,sec_8k_2.02
CSCO,2022-08-17 16:12:07,amc,,sec_8k_2.02
NVDA,2022-08-24 16:24:34,amc,,sec_8k_2.02
ORCL,2022-09-12 16:11:13,amc,,sec_8k_2.02
JPM,2022-10-14 06:45:32,bmo,,sec_8k_2.02
BAC,2022-10-17 06:46:33,bmo,,sec_8k_2.02
GS,2022-10-18 07:29:47,bmo,,sec_8k_2.02
JNJ,2022-10-18 07:54:56,bmo,,sec_8k_2.02
PG,2022-10-19 07:01:52,bmo,,sec_8k_2.02
KO,2022-10-25 06:56:55,bmo,,sec_8k_2.02
GOOGL,2022-10-25 16:01:23,amc,,sec_8k_2.02
MSFT,2022-10-25 16:02:59,amc,,sec_8k_2.02
META,2022-10-26 16:19:09,amc,,sec_8k_2.02
INTC,2022-10-27 12:02:53,intraday,,sec_8k_2.02
AMZN,2022-10-27 16:09:35,amc,,sec_8k_2.02
AAPL,2022-10-27 16:30:22,amc,,sec_8k_2.02
CVX,2022-10-28 06:19:21,bmo,,sec_8k_2.02
PFE,2022-11-01 08:11:28,bmo,,sec_8k_2.02
HD,2022-11-15 06:10:47,bmo,,sec_8k_2.02
WMT,2022-11-15 07:00:41,bmo,,sec_8k_2.02
CSCO,2022-11-16 16:19:56,amc,,sec_8k_2.02
NVDA,2022-11-16 16:21:18,amc,,sec_8k_2.02
ORCL,2022-12-12 16:11:56,amc,,sec_8k_2.02
JPM,2023-01-13 06:45:26,bmo,,sec_8k_2.02
BAC,2023-01-13 06:46:07,bmo,,sec_8k_2.02
GS,2023-01-17 07:25:45,bmo,,sec_8k_2.02
PG,2023-01-19 07:01:48,bmo,,sec_8k_2.02
JNJ,2023-01-24 07:44:10,bmo,,sec_8k_2.02
MSFT,2023-01-24 16:28:00,amc,,sec_8k_2.02
INTC,2023-01-26 11:06:30,intraday,,sec_8k_2.02
CVX,2023-01-27 06:48:29,bmo,,sec_8k_2.02
PFE,2023-01-31 08:11:36,bmo,,sec_8k_2.02
META,2023-02-01 16:22:15,amc,,sec_8k_2.02
GOOGL,2023-02-02 16:01:29,amc,,sec_8k_2.02
AMZN,2023-02-02 16:08:48,amc,,sec_8k_2.02
AAPL,2023-02-02 16:30:33,amc,,sec_8k_2.02
KO,2023-02-14 06:58:07,bmo,,sec_8k_2.02
CSCO,2023-02-15 16:13:35,amc,,sec_8k_2.02
HD,2023-02-21 06:03:36,bmo,,sec_8k_2.02
WMT,2023-02-21 07:00:24,bmo,,sec_8k_2.02
NVDA,2023-02-22 16:52:26,amc,,sec_8k_2.02
ORCL,2023-03-09 16:09:36,amc,,sec_8k_2.02
JPM,2023-04-14 06:48:57,bmo,,sec_8k_2.02
BAC,2023-04-18 06:47:41,bmo,,sec_8k_2.02
JNJ,2023-04-18 07:29:50,bmo,,sec_8k_2.02
GS,2023-04-18 07:30:37,bmo,,sec_8k_2.02
GOOGL,2023-04-20 16:24:04,amc,,sec_8k_2.02
PG,2023-04-21 07:00:39,bmo,,sec_8k_2.02
KO,2023-04-24 06:59:24,bmo,,sec_8k_2.02
GOOGL,2023-04-25 16:01:48,amc,,sec_8k_2.02
MSFT,2023-04-25 16:03:03,amc,,sec_8k_2.02
META,2023-04-26 16:18:04,amc,,sec_8k_2.02
INTC,2023-04-27 12:09:04,intraday,,sec_8k_2.02
AMZN,2023-04-27 16:10:37,amc,,sec_8k_2.02
CVX,2023-04-28 06:17:21,bmo,,sec_8k_2.02
PFE,2023-05-02 08:05:53,bmo,,sec_8k_2.02
AAPL,2023-05-04 16:30:43,amc,,sec_8k_2.02
HD,2023-05-16 06:06:07,bmo,,sec_8k_2.02
CSCO,2023-05-17 16:20:05,amc,,sec_8k_2.02
WMT,2023-05-18 06:59:50,bmo,,sec_8k_2.02
NVDA,2023-05-24 16:22:18,amc,,sec_8k_2.02
ORCL,2023-06-12 16:16:37,amc,,sec_8k_2.02
JPM,2023-07-14 06:46:08,bmo,,sec_8k_2.02
BAC,2023-07-18 06:46:16,bmo,,sec_8k_2.02
GS,2023-07-19 07:33:59,bmo,,sec_8k_2.02
JNJ,2023-07-20 07:15:55,bmo,,sec_8k_2.02
CVX,2023-07-24 06:01:10,bmo,,sec_8k_2.02
GOOGL,2023-07-25 16:01:21,amc,,sec_8k_2.02
MSFT,2023-07-25 16:02:47,amc,,sec_8k_2.02
KO,2023-07-26 06:57:08,bmo,,sec_8k_2.02
META,2023-07-26 16:06:51,amc,,sec_8k_2.02
INTC,2023-07-27 12:07:40,intraday,,sec_8k_2.02
CVX,2023-07-28 06:16:33,bmo,,sec_8k_2.02
PG,2023-07-28 07:02:06,bmo,,sec_8k_2.02
PFE,2023-08-01 08:09:25,bmo,,sec_8k_2.02
AMZN,2023-08-03 16:09:02,amc,,sec_8k_2.02
AAPL,2023-08-03 16:30:21,amc,,sec_8k_2.02
HD,2023-08-15 06:18:54,bmo,,sec_8k_2.02
CSCO,2023-08-16 16:09:53,amc,,sec_8k_2.02
WMT,2023-08-17 06:59:53,bmo,,sec_8k_2.02
NVDA,2023-08-23 16:21:42,amc,,sec_8k_2.02
JNJ,2023-08-30 07:46:49,bmo,,sec_8k_2.02
ORCL,2023-09-11 16:11:44,amc,,sec_8k_2.02
JPM,2023-10-13 06:47:21,bmo,,sec_8k_2.02
